gold_label,sentence1,sentence2
neutral,"A small dog runs after a red ball, though a leafy outdoor area.",a dog runs after ball thrown by owner.
entailment,"A guy singing on stage with a cool black shirt, while turning his microphone to the audience so they can sing along.",A guy is singing on stage along with the audience.
neutral,Balding man in gray sweater plays with his dog.,An older man is throwing a stick for his dog.
contradiction,Two guys sitting in a room with green and white curtain.,Two guys are playing golf.
entailment,A man in a blue uniform jumps in the air to shoot a basketball.,The man is shooting a basketball.
neutral,An Asian young man is drinking out of a metal cup.,The young man is drinking coffee.
neutral,An elderly man is posing in front of some rock formations.,An older man on a family vacation.
neutral,Two people are sitting in a station.,A married couple is waiting for a train.
contradiction,"There are four US military soldiers in this photo, only two have their faces in the picture, there is a pack of cigarettes by one of their boots, they appear to be fixing a motorcycle.",The 4 soldiers riding in a jeep.
entailment,A little girl plays with a faucet.,A girl plays with a faucet.
neutral,A man is sitting outside wearing blue pants.,The person is on the ground.
neutral,A small crowd of people gathered together watching activity occurring in front of them.,The people are outside
entailment,People riding on a tour bus in a parade wave to the bystanders.,The people are waving.
entailment,Two players are on a wet field and one is on the ground.,There are people in a field.
entailment,Young man walking dog,The man is with his dog.
contradiction,The police officer riding a horse is talking to a man riding a bike.,The police officer riding a horse is talking to a man driving a car
contradiction,"Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",There are three men on a fishing boat trying to catch bass.
entailment,A woman in a long-sleeved shirt checks her phone as a man in a leather jacket passes behind her.,She checks her phone.
contradiction,Two people are sitting in a station.,A jazz trio is giving a performance in the White House.
contradiction,A mom and son enjoying a day in the park.,A mom and son enjoying a day on mars
neutral,A dark colored man receives felicitations from a white colored woman which is seen by another white colored man.,A man just got married or engaged and a lady is congratulating him
entailment,A little girl in a red flowered dress with a tennis racket.,A little girl in red plays tennis.
entailment,A girl in uniform running through the water fountain gushing water from the tiles.,A girl is running through the water
neutral,"A man and a woman seated at a table, having drinks and deep in conversation.",Two people are on a dinner date.
entailment,A person with a dark yellow baseball cap and a gray sweatshirt is in the air over an outdoor fountain in front of a cityscape.,The person is wearing a baseball cap.
entailment,A woman prepares ingredients for a bowl of soup.,A woman is cooking.
neutral,"Two men dressed in identical white jackets with green numbers and logo are studying something on a cellphone with great interest, while other men, identically dressed and standing in a group with these two, are interested in something to their right.","Three men in matching jackets are standing together, one looking at a nearby person, the other two looking at a phone."
contradiction,"A brunette baby wearing a red and gray striped shirt, jeans, and a bib with fruit characters on it is sitting on a decorative blanket.",The child is secretly a 50 year old man
entailment,Four people are bandaging a head wound.,People are bandaging an injured head.
neutral,Two yellow dogs are running side by side down a road.,the yellow dogs run on the road to their owners house
entailment,A woman in a pink shirt is holding a hot air balloon with an American flag on it.,A woman is holding a hot air balloon.
contradiction,An old bearded man plays a hand flute on the side of a sidewalk.,An old bearded lady plays an instrument on the side of a river.
neutral,A man in a green apron smiles behind a food stand.,A man sells food.
entailment,"Outdoors in front of a crowd, a man plays an instrument by blowing into pipes he holds up to his face.",A person playing an instrument outside.
neutral,"Dinner and decisions, with the crew.",the crew was celebrating a birthday
contradiction,A biker wearing a white t-shirt is jumping over dirt hills.,A biker climbs a tree in a shirt.
neutral,A young boy is sitting in a green tunnel,The boy is wearing a green shirt
